id;logradouro;bairro;cep;numero;complemento;cidade;uf
1;outlandish revolutionize;past when beautifully;self-reliant;towards bin;since barring;begin;auditorium extra-small
2;anesthesiologist till;photographer;brazen;ply;orange;next graze phew;cluttered yippee
3;evangelise during hastily;yahoo rarely;abaft;electrify meh since;urgently;lightly psst why;uh-huh
4;logistics rick yippee;ouch yippee;raspberry defer ouch;bank;huzzah glow;with;zebrafish officially algorithm
5;perfectly often bitterly;surprisingly;calmly except;through deserted mellow;wherever buffalo neuropathologist;rite;offensively goggle serpentine
6;delightfully;dam loosely;yum;until;past helpless huzzah;alpenhorn;throughout utterly
7;duh;ah require;only;meh;predetermine fast;quizzically physically manacle;yet contraindicate repeatedly
8;mmm plus;interweave interior barren;hopelessly;gastronomy behoove;cheap crimp half;sharply before counsel;wrapping
9;luminous past after;midst daintily;jealously whimsical;among oh menacing;aha rash;hard-hat pish;summon
10;lovingly soon intend;associate following;via as wisely;likewise;show-stopper articulate handsaw;participate quickly gosh;nearest
